venturecaptialform,desc,keyppl,datefounded,blog,website,twitter,location
Footpath Ventures,Footpath Ventures is a venture capital fund based in the Cayman Islands and operating out of New York., , , , , ,New York City 
Information Venture Partners,? , , , ,informationvp.com,@informationvp, 
Resolute Ventures,Resolute Ventures is a seed and pre-seed investor that backs and connects a community of Founders , , , ,resolute.vc,@resolutevc,San Francisco 
SABIC Ventures,"SABIC Ventures invests in companies focused on alternative energy technologies, advanced materials and process, and resource and energy efficiency.", ,2011, ,sabic.com/ventures/, ,Riyadh 
Hongdao Capital,Hongdao Capital is a Beijing-based venture capital company founded in 2010., ,2010, ,hongdao1.com, ,Beijing 
BellCo Capital,BellCo Capital is a venture capital company., , , ,bellcocapital.com, , 
Full Tilt Capital,Full Tilt Capital is a San Diego-based venture capital company., , , ,fulltiltcapitalllc.com, ,San Diego 
The Players' Impact,The Players' Impact is a venture capital platform for professional athletes, , , ,theplayersimpact.com,@@playersimpact, 
Health Digital (company),A venture capital firm forming co-ventures with health technology companies. , , , ,healthdigital.com,@HealthDig,New York City 
Serval Ventures,Serval Ventures is a venture capital firm headquartered in New York City. , , , ,servalventures.com,@servalventures,New York City 
Sydney Angels Sidecar Fund,A venture capital and private equity fund with an exclusive partnership with Sydney Angels. , , , ,sydneyangels.net.au/sydne...r-fund, , 
Newstrike Brands,Newstrike Brands is a Toronto-based company founded in 2000., ,2000, ,newstrike.ca,@newstrikeltd,Toronto 
Health Catalyst Capital Management,A venture capital firm headquartered in new York City focused on investing in healthcare and information technology companies. , ,Dec-15, ,healthcatalystcapital.com,@HealthVC,New York City 
Equinor Energy Ventures,Equinor Energy Ventures is a corporate venture fund that is dedicated to investing in emerging growth companies in renewable energy., , , ,equinor.com/en/what-w...es.html,@equinor, 
Quantum Capital Partners,Quantum Capital Partners is a Lagos-based venture capital company., , , ,quantumcapital.com.ng, ,Lagos 
Third Horizon Venture Partners,?, , , ,3hvp.com, ,"San Jose, California "
Vedere Ventures,"An investment banking firm investing in technology, fitness, franchising, and healthcare. ", , , ,vedereventures.com,@vedereventures, 
Committed Capital,Committed Capital is a venture capital that also acts as an investment fund with the focus of SMEs in the Netherlands with an enterprise value, , , ,committedcapital.nl, , 
China Equity,"China Equity is an investment bank that engages in venture capital, private equity, and direct investments", , , ,chinaequity.net, ,"Palo Alto, California "
Barclays Ventures,Barclays Ventures is a London-based venture capital company founded in 2018., ,2018, ,business.barclays.co.uk, ,London 
Origo Resource Partners,A venture capital firm that funds natural resources sectors in China and India., ,2006, ,origoresourcepartners.com, ,China 
Avanti Capital,A venture capital and private equity firm making a combination of debt and equity investments. , , , ,avanticap.com, , 
Hersh Family Investments,"Hersh Family Investments is an Irving, Texas-based private equity company.", , , ,hershfi.com, ,"Irving, Texas "
Rizk Ventures,A venture capital and private equity firm in New York City., ,2013, ,rizkventures.com,@rizkventures,New York City 
SJF Ventures,"SJF Ventures is a Durham, North Carolina-based company founded by Dave Kirkpatrick.", , , ,sjfventures.com,@sjfventures,"Durham, North Carolina "
Union Grove Venture Partners,Union Grove Venture Partners is a venture capital company., , , ,uniongrovevp.com,@uniongrovevp, 
City Light Capital,City Light is a venture capital firm investing in early-stage social impact companies., , , ,citylight.vc,@citylightcap,New York City 
Livingbridge,"Livingbridge invests in companies in the healthcare, education, technology, media and telecommunications, services and consumer sectors.", , , ,livingbridge.com,@Living__Bridge, 
Merian Ventures,"Merian Ventures invests in women-led companies focused on cyber, blockchain, artificial intelligence, machine learning, and consumer-facing technologies.", , , ,merianventures.com, , 
CyberSEC3,CyberSEC3 is a venture capital firm focused on investments in early stage cybersecurity and information security companies., , , , , ,Florida 
Lilly Ventures,Lilly Ventures invests in early-stage life sciences companies. It is the venture capital arm of Eli Lilly and Company., ,2001, ,lillyventures.com, ,Indianapolis 
Huff Capital,Huff Capital is a Toronto-based investment management company., , , ,huffcapitalinc.com, ,Toronto 
China Merchants Capital,An investment management company investing in private equity and real estate opportunities in Chinas and abroad. , , , ,cmcapital.com.cn/en/index.html, ,Shenzhen 
CSA Partners,"CSA Partners, LLC is a venture fund that invests in early stage, high growth companies.", , , ,csapartners.com,@csapartnersllc, 
BancBoston Ventures,BancBoston Ventures is a venture capital firm funding U.S. companies., ,1959, ,bancboscap.com, ,Massachusetts 
ImaginVenture,ImaginVenture is a switzerland based business incubator firm founded in 2006., ,2006, ,imaginventure.com, ,Lugano 
Ant Financial,?, ,2004, ,antfin.com/index.htm,@alipay,Hangzhou 
Accelerant Capital Partners,Accelerant Capital Partners is a New York City based venture capital and consulting firm., , , ,accelerantcapital.com, ,New York City 
CapHorn Invest,CapHorn Invest is a Paris-based venture capital company., , , ,caphorn.vc,@CapHornInvest,Paris 
Accelmed Fund,? , , , ,accelmed.co.il, , 
Imprimatur Capital Fund Management,Venture capital, , , ,icfm.lv, ,Riga 
Mexico Ventures,Mexico Ventures is a Mexico City-based company founded in 2010., ,2010, , , ,Mexico City 
Growth & Transition Capital,"Growth & Transition Capital is a Wakefield, Massachusetts-based company founded in 1953.", ,1953, ,bdc.ca/en/bdc-capi...lt.aspx,@bdc_ca,"Wakefield, Massachusetts "
Inimiti,Inimiti is a venture capital firm invests in software platforms and services in the new media space., , , ,inimiti.net, , 
Refractive Ventures,Refractive Ventures is a venture capital that is interested in providing capital and capabilities, , , ,refractive.us, ,Los Angeles San Francisco 
BNP Paribas Investment Partners,BNP Paribas Investment Partners is the dedicated asset management business line of BNP Paribas., , , ,bnpparibas-am.com, ,Paris 
Btov Partners,European venture capital firm focused on early stage investments in digital and industrial technology companies, , , ,btov.vc,@btovpartners, 
TechAccel,"TechAccel is a technology development and venture firm. It is focused on agriculture and animal health.", , , ,techaccel.net,@Tech_Accel,"Overland Park, Kansas "
F2 Capital,F2 Capital is a venture capital company., , , ,f2vc.com,@F2_Capital,Israel 
Canopy Rivers Inc.,"Canopy Rivers is a leading cannabis venture capital investment firm that invests across the cannabis value chain, offering financial and/or operating support.", , , ,canopyrivers.com,@canopyriversinc, 
Intellectus Partners,A venture capital and private equity firm focused on preserving wealth through impact investing. , , ,blog.intellect.us ,intellect.us, ,San Francisco 
WRVI Capital,WRVI Capital is a Grand Cayman-based company., , , ,wrvi.vc, ,Grand Cayman 
InnoVen Capital,InnoVen Capital is a Venture that labels itself as Asia's leading venture lending firm, ,2008, ,innovencapital.com,@innovencap_in,Mumbai 
CloudScale Capital Partners,CloudScale Capital Partners is a venture capital investing in early-growth stage opportunities, , , ,cloudscalecapital.com, , 
MRLV,MRLV Ventures is a venture capital fund that invests in early-stage therapeutic companies that transform patient care globally, , , ,mrlv.com, , 
Bic Lazio,"Bic Lazio is a micro-venture capital from Roma, Lazio, Italy", , , ,biclazio.it, , 
Actinic Ventures,Actinic Ventures is a seed capital and growth equity portfolio, , , ,actinicventures.com,@ActinicVentures, 
Northcap (venture capital firm),"Northcap is a venture capital firm investing in information communication technology, business-to-business and business-to-business-to-consumer startups in Northern Europe.", , , ,northcap.vc,@Northcapvc, 
Accenture Ventures,Company, , , ,accenture.com/us-en/in...-ventures, , 
Sutter Hill Ventures,"Sutter Hill Ventures is a Palo Alto, California-based venture capital company founded by William Henry Draper III.", , , ,shv.com,@shv,"Palo Alto, California "
Echo Capital,Echo Capital is an invests in companies focused on the consumer packaged goods industry., , , ,echocapital.com, ,Los Angeles Denver San Francisco 
CLoud4Auto Ventures,CLoud4Auto Ventures is a Moscow-based venture capital founded in 2012., ,2012, ,cloud4auto.com, ,Moscow 
ACME Capital,ACME Capital is a v?enture firm that searches for disruptive businesses, , , ,acme.vc, ,San Francisco 
Massachusetts Green Energy Fund,"Massachusetts Green Energy Fund is a Brookline, Massachusetts-based venture capital company.", , , ,massgreenenergy.com, ,"Brookline, Massachusetts "
Allegis Cyber,Allegis Cyber is a venture capital that is interested in early and late-stage venture as well as private equity and seed., , , ,allegiscapital.com,@AllegisCapital, 
The Chinese Founders Fund,The Chinese Founders Fund is a Beijing-based venture capital company., , , ,cffpartners.com, ,Beijing 
Hickory Ridge Capital,Hickory Ridge Capital is a venture capital firm that specializes in early growth stage investments., , , ,hickoryridgecapital.com, ,"Bethesda, Maryland "
Haitong Securities,Haitong Securities is a security company in China founded in 1988., , , ,htsec.com, , 
Sternhill Partners,"Sternhill Partners is an Houston County, Texas-based venture capital company founded in 1999.", ,1999, ,sternhillpartners.com, ,"Houston County, Texas "
Juneau Capital,Juneau Capital is a Tel Aviv based venture capital firm., , , ,juneaucapital.com, ,Tel Aviv 
Amaranthine Partners,Amaranthine Partners is a venture capital firm which invests through the f.ounders platform., , , ,amaranthine.vc, ,San Francisco 
Ironspring,"Ironspring, LLC is a venture capital firm that focuses on helping entrepreneurs grow their business in the field of energy, construction, mining and resources, and transportation.", , , ,ironspring.com, ,"Austin, Texas "
Ascend Capital Partners,A venture capital and private equity firm making short and long-term equity investments. , , , ,ascend-cp.com, ,"Orinda, California "
Dieter von Holtzbrinck Ventures,Dieter von Holtzbrinck Ventures invests in financial technology companies., , , ,dvhventures.de,@dvhventures, 
Koch Disruptive Technologies,Koch Disruptive Technologies is a venture capital firm that looks to invest in promising technologies, , , ,kochind.com/companies...chnologies,@kochindustries, 
Blume Ventures,Blume Ventures is a venture capital firm financing startup companies in India., , ,blume.vc/blog/ ,blume.vc,@BlumeVentures,Mumbai 
G9 Ventures,G9 Ventures is a venture capital that is interested in investing in early-stage companies. , , , ,g9.ventures, , 
Seabed VC,Seabed VC invests with an open mind and bets on ideas that mainstream VCs won't. , , , ,seabed.vc,@vullal,"Saratoga, California "
Starta (cryptocurrency),Starta is an accelerator and fund platform aimed at empowering Eastern European technology companies., , ,medium.com/startaico ,startaaccelerator.com,@startaico,New York City 
Abstract By Flight.VC,"Abstract By Flight.VC is a venture capital that is interested in pre-seed, seed, and series A startup companies", , , ,abstract.vc,@abstractvc, 
Capital Trust Ventures,A Washington-based venture capital firm that invests in information technology companies, , , ,capitaltrustventures.com, , 
Velorum Capital,Velorum Capital is a San Francisco-based venture capital company founded in 2013., ,2013, ,velorumcapital.com, ,San Francisco 
Wave Ventures,Wave Ventures is a venture capital fund founded by students of Aalto University and the University of Helsinki., , ,medium.com/@waveventuresco ,wave.ventures,@waveventures, 
October Capital,October Capital is a family investment firm financing early and growth-stage ventures., ,1999, ,octobercapital.com, ,"Kansas City, Missouri "
Falcon Edge Capital,"Falcon Edge Capital invests in companies focused on artificial intelligence, urban mobility, and financial technology.", , , ,falconedgecap.com, ,New York City 
Luma Ventures,Venture capital, , , ,lumainvestment.com, ,Warsaw 
Pine Brook Partners,Pine Brook Partners is a company founded in 2006., ,2006, ,pinebrookpartners.com, ,"New York City White Plains, New York Houston "
Iridium Communications,Satellite communications provider, , , ,iridium.com,@IridiumComm,"McLean, Virginia "
Hyde Park Venture Partners,Hyde Park Venture Partners is an early stage venture capital firm investing in technology startups in the Midwest., , ,hydeparkvp.com/blog ,hydeparkvp.com,@hydeparkvp, 
Spring Bay Ventures,"Spring Bay Ventures is a Ponte Vedra Beach, Florida-based venture capital company founded in 2001 by Frederick B. Sontag.", ,2001, ,spring-bay.com, ,"Ponte Vedra Beach, Florida "
Alpha Bridge Ventures,Alpha Bridge Ventures is an early-stage venture capital fund focused on supporting the mental health of the founders., , , ,alphabridge.vc, ,San Francisco 
Blossom Street Ventures,Venture capital firm focused on companies with $2mm+ of run-rate revenue and growth of 50%+., ,2013, ,blossomstreetventures.com,@yourfavevc,Dallas 
Anges Que?bec,Anges Que?bec group of angel investors in Canada aiming to launch and grow businesses in various markets and product applications., , , ,angesquebec.com/en/,@angesquebec,Montreal 
Startup Capital Ventures,Startup Capital Ventures or SCV invests in early-stage B2B technology companies., , , ,startupcv.com,@startupcv, 
Millworks Fund,"Millworks Fund is a Manchester, Washington-based venture capital company founded in 2012.", ,2012, ,millworksfund.com, ,"Manchester, Washington "
TauTona Group,"TauTona Group is a Menlo Park, California-based venture capital company founded in 2010.", ,2010, ,tautonagroup.com, ,"Menlo Park, California "
Alium Capital,"A crossover investment fund focused on emerging technology and innovative companies, Series-A-to-Z and publicly listed", , , ,aliumcap.com,@aliumcap,Sydney 
Jerusalem Venture Partners,"Jerusalem Venture Partners invests in digital media, storage, infrastructure and cybersecurity companies.", , , ,jvpvc.com,@JVPVC,Jerusalem 
Ti23,A venture capital and private equity firm founded by Andrew Crawford in 2012., ,1-Oct-12, ,ww.ti23.com, ,United Kingdom 
Blackstone Life Sciences,Blackstone Life Sciences is the private investment platform of The Blackstone Group., , , ,blackstone.com/the-fir...sciences,@blackstone, 
Nexus Venture Partners,Nexus Venture Partners invest in startup companies in the US and India., , , ,nexusvp.com,@nexusvp,Port Louis 
Providence Ventures,"Providence Ventures invests in companies focused on healthcare information technology, technology-enabled services, and medical technology.", , , ,providenceventures.org,@provventures, 
Lund University Bioscience,Lund University Bioscience is a Lund-based venture capital company founded in 2007., ,2007, ,lubio.se, ,Lund 
Rough Draft Ventures,Rough Draft Ventures is a venture capital company., , ,medium.com/rough-dra...t-ventures ,roughdraft.vc,@roughdraftvc, 
Draper Athena,"Draper Athena is an early-stage venture capital firm with offices in Silicon Valley, Korea, and China.", , , ,draperathena.com, ,"San Mateo, California Seoul Hefei "
DevLabs Ventures,DevLabs Ventures is a venture capital company founded in 2013., ,2013, ,devlabs.vc, ,"Oakland, California Araucanía Region Medellín Jamaica "
Antecedent Ventures,A seed stage venture capital firm in New York City focused on investing in enterprise software. , , , ,antecedent.vc,@@AntecedentVC,New York City 
Belgian Federal Investment Fund?,Belgian Federal Investment Fund? is a federal holding company that was founded in 2012, , , ,sfpi-fpim.be, , 
Caffeinated Capital,"Caffeinated Capital is a venture capital firm investing in companies focused on financial services, enterprise software, digital health, and cryptocurrency.", , , ,caffeinatedcapital.com,@caffeinatedcap,San Francisco 
Brio Capital,Brio Capital is a New York City-based venture capital company founded in 2006., ,2006, ,briocapital.com, ,New York City 
Summit Capital,Washington based financial services firm providing active asset management service. Acquired by Merriman Wealth Management, ,1996, ,merriman.com/welcome-...-capital/, ,"Spokane, Washington "
Somel Investments,Somel Investments is a private equity company that is interested in emerging growth companies, , , , , , 
Beanstalk Ventures,"Beanstalk Ventures is an Hartsdale, New York-based venture capital company founded in 2013.", ,2013, ,beanstalk.vc, ,"Hartsdale, New York "
SOSventures,SOSventures is a venture capital firm that is interested in multi-stage investments to scale and develop positive ideas, , , ,sosventures.com, , 
Big Idea Ventures,Big Idea Ventures is a New York-based venture capital company founded in 2018., ,2018, ,bigideaventures.com, ,New York 
Singularity Ventures,Singularity Ventures is a Chennai-based venture capital company., , , ,singularityventures.in, ,Chennai 
BrainStorm Ventures,BrainStorm Ventures is an early-stage venture capital firm looking to invest in disruptive companies., , , ,brainstorm.vc, ,San Francisco 
Indico Capital Partners,Indico Capital Partners is a venture capital based in Portugal, , , ,indicocapital.com,@indicocapital,Lisbon 
PYJ-Dynasty Venture Fund,A U.S. based venture capital that invests in China-based companies., , , ,pyjdynasty.com, ,United States 
Seneca VC,A startup studio and venture collective backing the next generation of changemakers, , , ,seneca.vc,@senecavc, 
Accelerate Ventures,? , , , ,accelerateventures.com, , 
Tamburi Investment Partners,Tamburi Investment Partners is an investment and merchant bank investing in industrial and entrepreneurial type companies, , , ,tipspa.it/en/,@TamburiTIP, 
Tusk Ventures,"Tusk Ventures is a venture capital and political strategy firm focused on making investments and helping startup companies navigate political, regulatory, and media hurdles. ", , ,tuskventures.com/journal/ ,tuskventures.com,@tuskventures,New York City 
Forexify,Forexify is a seed and venture capital firm predominantly focused on FinTech, , , ,forexify.com,@forexify, 
Kupanda Capital,Kupanda Capital is a venture capital firm focused on helping establish and scale-up Pan-African enterprises., , , ,kupanda.com, ,"Washington, D.C. "
Safran Corporate Ventures,Safran Corporate Ventures is a venture capital that is dedicated to innovative startups, , , ,safran-group.com/compan...entures, , 
Ucommune,Ucommune provides co-working space solutions to small to medium enterprises., ,2015, ,ucommune.com,@ucommune_bj,Beijing 
Stanley Medical Research Institute,Stanley Medical Research Institute is a nonprofit organization that supports research on treatment for schizophrenia and bipolar disorder, , , ,stanleyresearch.org, , 
BioGeneration Ventures,BioGeneration Ventures is a Naarden-based venture capital company founded in 2006., ,2006, ,biogenerationventures.com, ,Naarden 
Minsheng Capital,Minsheng Capital is an investment group and venture capital fund that operates internationally and privately, , , , , , 
Viceroy Ventures,Viceroy Ventures is an early stage venture capital., , , ,viceven.com, ,New York City 
BGF Ventures,BGF Ventures is a London-based venture capital company founded in 2015., ,2015, ,bgfventures.com,@bgfventures,London 
TDM Partners,TDM Partners is a venture capital that invests in early stage companies with technologies that address a skills gap., , , ,tdmpartners.hk, , 
CASSIUS Family,"A venture capital and private equity firm focused on investing in consumer, content, and commerce companies. ", , , ,cassiusfamily.com, , 
Tybourne Capital Management,Tybourne Capital Management is an Hong Kong-based venture capital company founded in 2012., ,2012, ,tybournecapital.com/discl...er.php, ,Hong Kong 
Open Prairie Ventures,"Open Prairie, based in the heartland of America with headquarters in Effingham, Illinois, is a multi-faceted private equity fund management firm with deep roots in agriculture and rural America.", , , ,openprairie.com, , 
NTX Ventures,NTX Ventures is a venture capital that discovers disruptive start-up companies with cross-border synergies, , , ,nxtventures.com, , 
WP Global Partners,"Institutional investor in venture capital, private equity, and private debt.", , , ,wpglobalpartners.com,@WP_Global,Chicago New York City Los Angeles 
PICO Venture Partners,PICO Venture Partners is a venture capital firm investing in early-stage technology companies., , , ,pico.partners, ,Jerusalem 
InSite Partners,InSite Partners is a venture capital that focuses on growing companies with promising technologies., , , ,insitepartners.com, ,"Cupertino, California "
Grandis Ventures,Grandis Ventures is a San Francisco based venture capital firm, , , ,grandisventures.com, ,San Francisco 
Start Right Ventures,A venture capital firm in New York City offering a platform for companies to pitch to investors. , , , ,startrightventures.com, ,New York City 
Naxicap Partners,Naxicap Partners is a Paris-based company founded in 1971., ,1971, ,naxicap.fr,@naxicap,Paris 
Finistere Ventures (Venture Capital),Finistere Ventures is a micro venture capital that offers investments for early-stage agtech companies, , , ,finistere.com,@finistereag, 
JMI Equity,JMI Equity is a Baltimore-based company., , , ,jmi.com, ,Baltimore 
Rhino Ventures,"Rhino Ventures is formerly Vancouver Founder Fund, leading early-stage venture capital firm in the Pacific Northwest.", , , ,rhinoventures.vc,@RHINO_VC, 
Mobile Foundation Ventures,"Mobile Foundation Ventures invests in early-stage companies developing deep technologies and solutions in fields of automotive, manufacturing, retail, agriculture, and knowledge services.", ,2018, ,mfvpartners.com, ,Palo-Alto 
DSA Invest,DSA Invest is deals with promoting and financing companies in the start-up phase and consolidates., , , , , , 
IVP,Institutional Venture Partners is a venture capital firm that is interested in technology and media companies, , , ,ivp.com,@ivp, 
B Dash Ventures,B Dash Ventures is a Tokyo-based venture capital company founded in 2011., ,2011, ,bdashventures.com/en,@bdashventures,Tokyo 
C-III Capital Partners,C-III Capital Partners is a real estate service company operating as a private equity firm, , , ,c3cp.com, , 
MESA+,"MESA+ is a venture capital interested in e-commerce, media, enterprise software, and mobile technologies", , , ,mesa.vc,@jacobbrody, 
Open Air Equity Partners,OpenAir Equity Partners invests in the wireless communications and mobile Internet sectors. , , , ,openairep.com, ,"Kansas City, Missouri "
Flatiron Partners,Flatiron Partners is a New York City-based venture capital company founded in 1996 by Fred Wilson., ,1996, ,flatironpartners.com, ,New York City 
Muse Capital,Muse Capital is a venture capital company., , , ,musecapital.vc, , 
Congruent Ventures,Congruent Ventures is a venture capital firm that is interested in early-stage sustainable technology companies., , , ,congruentvc.com, , 
Apposite Capital,Apposite Capital is a London-based venture capital company founded in 2006 by David Porter., ,2006, ,appositecapital.com, ,London 
"Sea Lane Ventures, LLC","Sea Lane Ventures is a venture capital company that partners with entrepreneurs at every stage of companies in the field of marketing, life sciences, and healthcare.", , , ,sealaneventures.com, , 
Viking Venture,Viking Venture is a Trondheim-based venture capital company founded in 2001 by Erik Hagen., ,2001, ,vikingventure.com,@vikingventure,Trondheim 
Ark Angels Activator Fund,Ark Angels Activator Fund is a private equity firm that specializes in early and middle-stage venture investments., , , ,aaafund.be, , 
Maryland Venture Fund,Maryland Venture Fund invests in seed and growth stage businesses in Maryland., , , ,marylandventurefund.com,@mdventurefund,"Columbia, Maryland "
Sapphire Sport,"Sapphire Sport invests in early-stage technology companies focused on sport, media, and entertainment.", , , ,sapphireventures.com/fund...port/,@sapphirevc,"Palo Alto, California "
Gore Range Capital,Gore Range Capital is a venture capital firm that focuses on investing in healthcare businesses., , , ,gorerangecapital.com, ,New York City 
Argenthal (venture capital),Argenthal is a private equity firm and venture capital that engages in real estate assets, , , ,argenthal.com, , 
Savia Capital,A Spain based venture capital firm founded in 1997, ,1997, ,saviacapital.com, ,Zaragoza 
AccelFoods,Startup accelerator founded in 2014 focusing on food industry, , , ,accelfoods.com,@accelfoods,New York City 
Millstone Capital Partners,Millstone Capital Partners is a venture capital dedicated to small and mid-sized companies, , , ,millstoneca.com, , 
Sprout Group,Sprout Group is a New York City-based venture capital company founded in 1969., ,1969, ,sproutgroup.com, ,New York City 
Net Partners,Net Partners was a venture capital firm that used to finance private companies., ,1997, ,net-partners.com, ,Brussels 
Fortino Capital Partners,Fortino Capital Partners is an Antwerp-based venture capital company founded in 2013., ,2013, ,fortino.be,@fortinocapital,Antwerp 
Leo Capital Holdings,"Leo Capital Holdings is a Northbrook, Illinois-based company founded by Randy O. Rissman.", , , ,leocapholdings.com, ,"Northbrook, Illinois "
eCoast Angels,"eCoast Angels is an investment firm that is focused on advanced technologies, e-commerce, healthcare, and other fields.", , , ,ecoastangels.com/aboutus, , 
Daybreak Investments,Daybreak Investments is a Melbourne-based company., , , ,daybreakinvestments.com/au1/, ,Melbourne 
Motus Ventures,"Motus Ventures is an early-stage and seed-stage venture, as well as an accelerator and capital fund.", , , ,motusventures.com, ,"Redwood City, California "
Space Angels,Space Angels is a space travel company., , ,spaceangels.com/informa...-central ,spaceangels.com,@spaceangels, 
"Athyrium Capital Management, LP","Athyrium Capital Management, LP is a private equity firm that is interested in global healthcare sectors", , , ,athyrium.com, , 
Navigation Capital,Navigation Capital Partners is a private equity firm that is interested in middle market and growth capital., ,2006, ,navigationcapital.com, ,Atlanta 
Nextury Ventures,Nextury Ventures is a Lithuania-based company founded in 2013 by Ilja Laurs., ,2013, ,nextury.com/en/,@nextury,Lithuania 
Excelerate Labs,Excelerate Labs is a Chicago-based venture capital company founded by Troy Henikoff., , ,exceleratelabs.com/blog/ ,exceleratelab.com,@ExcelerateLabs,Chicago 
Militello Capital,Militello Capital invests in the commercial real estate sector. , , , ,militellocapital.com,@militellocap,Virginia 
Amity Ventures,Amity Ventures is a venture capital that focuses on technology companies, , , ,amity.vc, ,San Francisco 
Stephens Investment Management,Stephens Investment Management is a private equity firm that acts as a consulting company and operates on venture funds, , , ,stephensim.com, , 
Cross Creek Capital,Cross Creek Capital is a Salt Lake City-based venture capital company founded in 2006 by Karey Barker., ,2006, ,crosscreekcapital.com, ,Salt Lake City 
Deutsche Telekom Capital Partners,Deutsche Telekom's investment management group with $1.7 billion under management and advisory. , , , ,telekom-capital.com,@telekomcapital,"Hamburg Tel Aviv Menlo Park, California "
Astrolabe Ventures,"Astrolabe Ventures is a Palo Alto, California-based venture capital company founded in 2006.", ,2006, ,astrolabeventures.com, ,"Palo Alto, California "
Cheever Capital Management,Cheever Capital Management is a venture capital that invests in information assurance technology., , , ,cheevercapitalmgmt.com, ,"Albany, Oregon "
"Griffin Partners, Inc.","Griffin Partners, Inc. is a venture capital that operates as a commercial real estate development company", , , ,griffinpartners.com, , 
Moonscape Ventures,"Moonscape Ventures invests in Internet of Things, smart cities, big data, devices and connectivity, information technology and news and media startups.", , , ,moonscapevc.com, , 
HAXLR8R,Startup accelerator focusing on hardware, , , ,haxlr8r.com,@haxlr8r,Shenzhen 
Rampersand,"Rampersand invests in enterprise, business-to-business, and business-to-consumer companies. It also invests in startups in the financial technology, data, cybersecurity, augmented reality, human resources and workplace platforms, and logistics sectors in Australia and New Zealand. ", ,2013,medium.com/rampersand ,rampersand.vc,@rampersand_fund,Melbourne 
Napier Park Financial Partners,Napier Park Financial Partners is a private equity firm that has a focus on alternative credit and structuring, , , ,napierparkglobal.com/priv...quity, , 
Ginko Ventures,"Ginko Ventures is a venture capital that invests in technologies, devices, solutions, and ideas the help people work.", , , ,ginkopartners.com, , 
Intudo Ventures,"Intudo Ventures is a venture capital firm investing in the consumer, finance and insurance, health and wellness and education sectors.", , , ,intudovc.com, , 
Mori Trust,Mori Trust is a venture capital firm focused on estate development and hotel management., ,10-Jun-70, ,mori-trust.co.jp, , 
Greenstart,Greenstart is a micro venture capital that acts as a design studio and startup accelerator that focuses on seed stage investments, , , ,greenstart.com,@greenstart, 
Pacific Venture Capital,Pacific Venture Capital was a venture capital firm serving the Samoa and Pacific regions., , , ,pacificventurecapital.com, , 
CTI Capital,CTI Capital is a company founded in 2006., ,2006, ,cticap.ca, , 
Camden Partners,Investment firm, , , ,camdenpartners.com,@CamdenPartners1,Baltimore 
Razor's Edge Ventures,Razor's Edge Ventures is a venture capital that invests in private technology companies, , , ,razorsvc.com, , 
LRVHealth,LRVHealth is a venture capital that is interested in early-stage and late-stage ventures, , , ,lrvhealth.com,@lrvhealth, 
Green Park & Golf Ventures,Green Park & Golf Ventures is a Dallas-based company., , , ,gpgventures.com,@@gpgventures,Dallas 
Tresalia Capital, A venture capital and private equity firm investing in Mexican companies. , , , , , ,Mexico City 
Archetype Ventures,Archetype Ventures invests in business-to-business technology companies., , , ,archetype.vc,@shumpeif,Tokyo 
Crossbar Capital,Crossbar Capital is a New York City-based venture capital company founded by Charlie Federman., , , ,crossbarcapital.com, ,New York City 
Prosperico Ventures,A venture capital and private equity firm investing in healthcare and technology companies. , , , ,prosperico-venture.com, , 
Uniwill Ventures,UniWill Ventures is a venture capital investing in startups to build strategic development plans, , , ,uniwill.co, , 
ARM (Asset & Resource Management Holding Company),Asset & Resource Management Holding Company (ARM) provides traditional asset management and alternative investment services., ,1994,realisingambitions.com ,arm.com.ng,@armengage,Lagos 
Digital Alpha Advisors,"Digital Alpha Advisors invests in companies developing infrastructure, services and solutions in the digital economy.", , , ,digitalalpha.net, , 
C&B Capital (company),"C&B Capital invests in business services, consumer, healthcare, industrial, and technology companies.", , , ,croft-bender.com, ,Atlanta 
Nimbus Ventures,Nimbus Ventures is a venture capital that looks to provide solutions to business problems and scenarios, , , ,nimbusventures.vc,@nimbusventures, 
Global Investment Partners,Global Investment Partners is a venture capital and financial consultancy firm, , , ,gippartners.com, , 
RJB Investments,RJB Investments is a real estate investment company., ,2005, ,rjbinvestments.net, , 
Hallett Capital,Venture capital firm investing in technology companies, , , , , ,"Wilmington, Delaware "
Silvershore,"Silvershore is an investment firm focused on the internet sector. It is based in New York, New York.", , , ,silvershore.com, ,New York City 
Angel Ventures,Angel Ventures is an early-stage venture capital investment firm, ,2008, ,angelventures.vc,@pinchefmx,Mexico City 
Angels Capital (Spanish investment firm),Angels Capital is a micro venture capital that supports entrepreneurial leaders, , , ,angelscapital.es,@angels_capital, 
Asia Pacific Capital,Asia Pacific Capital is a venture capital that was established in 1992 in Hong Kong, , , ,apcinvestors.com, , 
Sniper Investments,Sniper Investments is a Mechelen-based venture capital company founded in 2011 by Bart Luyten., ,2011, ,sniperinvestments.com, ,Mechelen 
Exceed Capital Partners,Exceed Capital Partners is an investment firm that invest in global companies in the human capital sector., , , , , , 
Arborview Capital,Arborview Capital is a venture capital that is interested in energy and resource efficiency, , , ,arborviewcapital.com,@arborview_cap, 
Silverton Partners,Silverton Partners is an early-stage venture capital firm based in Austin., , , ,silvertonpartners.com,@michaeljdoddjr,"Austin, Texas "
Xianghe Capital,A venture capital and private equity firm investing in early and growth-stage companies. , , , , , , 
